ID,NAME
0,5mkc_1_A
1,5na2_1_B
2,4tkp_1_B
3,4p1e_1_A
4,3qvg_1_B
5,5tde_1_B
6,3tm1_1_A
7,2azj_1_B
9,1jlx_1_A
10,2yh9_1_B
11,1xsz_1_A
12,5wy4_1_A
13,2in5_1_B
14,2q4a_1_B
15,3hn7_1_A
16,3f42_1_A
17,4f0j_1_A
18,2pjz_1_A
19,1k4w_1_A
20,3a30_1_A
22,1wg8_1_A
23,1gup_1_A
24,3vx3_1_B
25,5t5i_1_A
26,3pe5_1_A
27,3lev_1_A
28,3usz_1_A
29,5x9k_1_B
30,3b7r_1_A
31,4wd8_1_B
32,3e4r_1_A
33,1u84_1_A
34,4txd_1_A
35,3hsm_1_A
36,3a21_1_A
37,4jyk_1_A
38,3cw3_1_A
39,6bqk_1_A
40,4irt_1_A
41,3h4s_1_B
42,5vmo_1_A
43,5nmo_1_B
44,3dea_1_A
45,2b1e_1_A
46,1ais_1_B
47,3l0g_1_C
49,4rud_1_B
50,2nnn_1_B
51,2uwm_1_A
53,3vaw_1_A
54,1y1o_1_A
55,5fog_1_A
56,4j56_1_A
57,4xg0_1_A
58,2oq0_1_A
59,6d0g_1_A
61,3x3m_1_A
62,3lls_1_B
63,4wts_1_A
66,1xuv_1_B
67,3boi_1_A
68,1amp_1_A
69,4r6k_1_A
70,1ze3_1_C
73,1cnt_1_B
74,4unc_1_A
76,3cd5_1_A
77,2b2h_1_A
78,5ijj_1_A
79,1k6w_1_A
80,5vmd_1_A
81,3fm8_1_A
82,3b5n_1_D
83,3cwv_1_A
84,3m92_1_A
85,2gzr_1_A
86,4ium_1_A
87,4pyt_1_A
88,3bni_1_B
89,5vpc_1_B
90,3fkj_1_B
91,1aoz_1_A
92,4nhw_1_A
93,2exe_1_A
94,4gi3_1_B
95,4hrs_1_A
96,3c5x_1_B
97,2b18_1_A
98,1h09_1_A
99,5hd9_1_A
100,4lxr_1_C
101,2hlr_1_A
102,2wte_1_B
103,5j92_1_B
104,4lrl_1_C
105,4nng_1_A
106,3e6p_1_B
107,4etr_1_A
108,5ce1_1_A
109,3kd3_1_A
110,6epz_1_A
111,3llb_1_A
112,3pbi_1_A
113,3byj_1_A
114,4kun_1_B
115,3v96_1_A
116,4lmw_1_B
117,2v3s_1_A
119,5y9s_1_B
120,4jwq_1_A
121,3lx7_1_B
123,5g4a_1_A
124,1lya_1_A
125,2gr3_1_A
126,5ovy_1_A
127,4kt6_1_A
128,2hvw_1_A
129,1cjx_1_A
130,4nca_1_A
131,1yq3_1_A
